TITLE,MODEL,DESCRIPTION,CONDITION,STATUS,PRICE_LIST,PRICE
Karcher - Conexiune intre furtunuri,2.645-197.0,"Unitate de reparare universala pentru furtunuri adecvata pentru toate furtunurile de gradina obisnuite. Pentru conectarea sau repararea a doua bucati de furtun. Design ergonomic pentru manevrare usoara.,Cod de comanda:2.645-197.0",Nou,,21.0,"19,43"
Karcher - Tija furtun,2.645-237.0,"Cramponul de la sol este utilizat pentru asezarea si fixarea furtunurilor Kärcher Rain System® si a furtunurilor de absorbtie. Inelul de cauciuc integrat in punctul de fixare asigura o prindere optima.,Cod de comanda:2.645-237.0",Nou,La comanda,0.0,"20,00"
Karcher - UNI10-Set de saci,UNI10,Set de 3 saci* Capacitate 10 l* Filtru universal: 59-70mm* Compatibil cu modelele: Karcher (WD2)/Hoover//Nilfisk-Alto,Nou,In stoc ,0.0,"29,00"
Karcher - Cuplaj cu 3 capete din alama,2.645-101.0,"Calitate care face fata oricarei presiuni. Noua linie de alama de la Kärcher este destinata utilizarii semiprofesionale in gradina Dvs. Prelucrarea valoroasa si materialul robust garanteaza o durata de viata extrem de lunga chiar si in cazul utilizarii continue.,Cod de comanda:2.645-101.0",Nou,,40.0,"37,10"
Karcher - Distribuitor cu 2 cuplaje,2.645-199.0,"Distribuitor cu 2 cuplaje pentru 2 racorduri de apa independente, reglabile individual. Ideal pentru conectarea a doua furtunuri la un singur robinet individual (racord de robinet G3/4, piesa de reducere G1/2).,Cod de comanda:2.645-199.0",Nou,,51.0,"48,26"
Karcher - Aspersor circular RS 130/3,2.645-019.0,"Aspersor circular cu 3 brate metalice robuste. Pentru suprafete medii si gradini. Sistem clic potrivit tuturor marcilor!,Cod de comanda:2.645-019.0",Nou,La comanda,0.0,"72,00"
Karcher - Suport furtun Premium cu cutie,2.645-162.0,"Carlig Plus robust pentru furtunuri, pentru montarea usoara pe perete. Depozitare practica si compacta a furtunului. Cu cutie de depozitare pentru aparate de stropit, racorduri si manusi de gradinarit si cutie de depozitare pentru foarfeca de gradina etc. Ideal pentru toate furtunurile obisnuite.,Cod de comanda:2.645-162.0",Nou,La comanda,0.0,"120,00"
Karcher - Cronometru de alimentare cu apa WT 4,2.645-174.0,"Unitate de irigare usor de programat pentru irigarea la cerere. Irigarea incepe si se termina la timpul presetat. Cu display demontabil. Cu adaptor pentru robinet si prefiltru.,Cod de comanda:2.645-174.0",Nou,La comanda,222.0,"185,00"
Karcher - Aspirator de geamuri WV Easy Plus,1.633-177.0,"Pentru curățarea geamurilor fără efort,cod comanda: 1.633-177.0",Nou,in stoc ,518.0,"270,00"
Karcher - Aspirator uscat - umed WD3,1.628-101.0,"Karcher WD 3,Aspiratorul multifunctional WD3 puternic si eficient din punct de vedere energetic este echipat cu un recipient din plastic de 17 litri, un filtru cu cartus, precum si accesorii noi.,Cod de comanda:1.628-101.0",Nou,la comanda ,539.0,"349,00"
Karcher - Cutie pentru ploaie Karcher,2.645-238.0,"Karcher Rain Box, extensibila, cu filtru, colierele anti-picurare, piesele de racordare si furtunurile sunt setul de pornire ideal gata de racordare pentru irigarea eficienta a gradinii.,Cod de comanda:2.645-238.0",Nou,La comanda,0.0,"402,00"
Karcher - Foarfeca de tuns gardul viu HGE 18-50,1.444-240.0,"Prevăzută cu un mâner rotativ la 180° și o perie specială, foarfeca de tuns gardul viu cu acumulator HGE 18-50 Battery este ușor de utilizat și asigură un rezultat precis de tăiere.,Foarfeca vine fara baterie si incarcator,cod comanda: 1.444-240.0",Nou,La comanda,582.0,"496,00"
Karcher - CURATITOR CU ABURI SC 2 UPRIGHT EasyFix,1.513-345.0,"Cu aparatul de curățat cu aburi SC 2 Upright ,EasyFix,, sunt îndepărtate de pe suprafețele dure, până la 99,999% din coronavirusuri * și 99,99% din toate bacteriile obișnuite de uz casnic **,cod comanda: ,1.513-345.0",Nou,La comanda,595.0,"560,00"
Karcher - Programator digital ST6 Duo eco!ogic-2 senzori,2.645-214.0,"Computerul de irigare ecologica ST6 SentoTimer inteligent este actionat de cererea de apa a plantelor si iriga tinand cont de controlul umiditatii cu ajutorul a 2 senzori radio separati.,Cod de comanda:2.645-214.0",Nou,La comanda,761.0,"636,00"
Karcher - Suflanta pentru frunze LBL 2 battery set,1.445-110.0,"Suflanta frunze LBL 2 cu baterie și încărcător. Aerul suflat atinge o viteză maximă de 210 km/h, fiind perfect echilibrată.,Suflanta vine cu baterie si incarcator,cod comanda: 1.445-110.0",Nou,La comanda,725.0,"700,00"
Karcher - Pompa de apa murdara BTSZ 400 SPECIAL,BTSZ 400 SPECIAL,"Pompa poate fi utilizată eficient pentru transportarea apei uzate brute cu conţinut de impurităţi de pe şantiere sau a apei cu conţinut de particule flotante şi obiecte solide.,comanda: BTSZ 400 SPECIAL",Nou,,1014.0,"780,00"
Karcher - Curatitor cu abur SC3 EASYYFIX,1.513-110.0,"Aparatul de curatat cu abur Kärcher SC 3 cu cartus de decalcifiere asigura o curatare non-stop, datorita rezervorului ce poate fi reumplut continuu. Incalzire in doar 30 de secunde!,cod comanda: 1.513-110.0",Nou,in stoc ,1094.0,"850,00"
Karcher - APARAT DE SPALAT CU PRESIUNE K 3 PREMIUM POWER CONTROL,1.602-750.0,Versiunea premium a aparatului de spălat cu presiune K 3 Power Control include și un tambur de furtun. Prin intermediul aplicației putem obtine rezultate de curățare mai eficiente.,Nou,La comanda,1290.0,"995,00"
Karcher - Mop electric  FC 5,1.055-400.0,"Mopul electric cu aspirare FC 5 cu role din microfibre și funcție de 2-in-1 pentru ștergere și aspirare a murdăriei umede și uscate dintr-o singură trecere.,cod comanda: 1.055-400.0",Nou,,1154.0,"1 120,00"
Karcher - Trimmer pentru gazon LTR 36-33 battery set,1.444-351.0,"Iarba și buruienile greu de îndepărtat nu au nicio șansă în fața trimmerului pentru gazon LTR 36-33 Battery. ,Setul include un acumulator și un încărcător rapid.,cod comanda : 1.444-351.0",Nou,La comanda,1351.0,"1 250,00"
Karcher - Masina de tuns iarba GLM46P,GLM46P,"Mașină de tuns gazonul cu lățime de tundere de 46 cm, pentru tunderea rapidă și precisă a  suprafețelor de până la 1.500 m . Mașină puternică, dotată cu motor Briggs & Stratton,cu o garantie extinsa de 3 ani, carcasă și șasiu metalice, cu posibilitate de evacuare laterală, autopropulsata.,cod comanda: GLM46P",Nou,,1900.0,"1 500,00"
Karcher - APARAT DE SPALAT CU PRESIUNE K5 POWER CONTROL,1.324-550.0,"Pentru un control și mai bun: aparatul de spălat cu presiune K5 Power Control cu asistare prin intermediul aplicației, pistolul de pulverizare G 160 Q Power Control, lance de pulverizare Vario Power și sistemul ,Plug 'n' Clean,.,cod comanda: 1.324-550.0",Nou,in stoc ,2350.0,"1 800,00"
